sucursal,lat,lon
521 - Proxi Urquiza 4855 Urquiza,-34.60589,-58.5647678
522 - Proxi Arieta 2850 San Justo,-34.676232,-58.5636091
524 - Proxi Irigoyen 746G.Rodriguez,-34.608601,-58.9537633
525 - Proxi Crisologo Larralde 3721,-34.554988,-58.4797593
526 - Proxi Honororio Pueyrredon 925,-34.609789,-58.4442616
527 - Proxi Fray J Sta M de Oro 2121,-34.583025,-58.4277713
528 - Proxi Aguirre 236,-34.599753,-58.4337071
529 - Proxi Viamonte 2296,-34.601091,-58.3997101
530 - Proxi Rivadavia 6074,-34.624901,-58.4524906
531 - Proxi Arevalo 1736,-34.580485,-58.4398252
533 - Proxi Rosario 85,-34.618244,-58.4294558
534 - Proxi Martiniano Leguizamon1576,-34.653207,-58.5073552
535 - Proxi Murguiondo 4324,-34.677878,-58.4746349
536 - Proxi Ricardo Balbin 4189,-34.554793,-58.4908877
537 - Proxi Charcas 4367,-34.583369,-58.4235227
538 - Proxi Hipolito Yrigoyen 3254,-34.612266,-58.4127188
539 - Proxi Donato Alvarez 837,-34.616698,-58.4582734
541 - Proxi Maipu 918,-34.597284,-58.3768362
542 - Proxi Segurola 279,-34.631578,-58.4855931
543 - Proxi Olazabal 5179,-34.576894,-58.4865975
545 - Proxi Libertad 1039,-34.596239,-58.3841921
546 - Proxi Moreno 1902,-34.612743,-58.3932191
547 - Proxi Av. Dorrego 851,-34.59127,-58.4469062
548 - Proxi Congreso 5241,-34.570587,-58.4917259
550 - Proxi Sarmiento 3885,-34.605131,-58.4190917
551 - Proxi Monroe 3576,-34.565122,-58.4709281
552 - Proxi Rivadavia 3751,-34.611122,-58.4189093
553 - Proxi Cuzco 135,-34.638213,-58.5277104
554 - Proxi Chilavert 6280,-34.684949,-58.4746778
555 - Proxi Guemes 4161,-34.584835,-58.4190112
556 - Proxi Grecia 3595,-34.546518,-58.4631443
557 - Proxi Arzobispo Espinosa 1187,-34.633561,-58.3694172
558 - Proxi Sarmiento 345,-34.604349,-58.3723837
559 - Proxi Teodoro Garcia 2310,-34.568453,-58.4446317
560 - Proxi Mitre 1749,-34.607895,-58.3913255
561 - Proxi Angel Gallardo 940,-34.606672,-58.4436661
562 - Proxi San Martin 620,-34.600934,-58.374102
563 - Proxi Hidalgo 955,-34.608579,-58.4412199
565 - Proxi Ecuador 932,-34.598913,-58.4060059
566 - Proxi Alvarez Thomas 1996,-34.578871,-58.4688088
568 - Proxi Olazabal 1898,-34.557422,-58.4536922
569 - Proxi Del Libertador 1140,-34.585767,-58.3876616
570 - Proxi Defensa 1400,-34.623907,-58.3712626
571 - Proxi Tacuari 89,-34.609184,-58.3793896
572 - Proxi Centenera 1282,-34.633932,-58.4360969
573 - Proxi Av. Cordoba 3721,-34.597761,-58.4195423
574 - Proxi Garcia del Rio 3166,-34.549965,-58.4759009
575 - Proxi Av. Directorio 483,-34.62792,-58.433066
576 - Proxi Nunez 1563,-34.545886,-58.4596521
577 - Proxi Av. Cordoba 2038,-34.599762,-58.3966363
579 - Proxi Av. Alte. Brown 795,-34.63225,-58.3614832
580 - Proxi Av. Corrientes 4147,-34.60295,-58.4233189
581 - Proxi Juan Maria Gutierrez 3756,-34.580715,-58.4128529
582 - Proxi Av. Congreso 4800,-34.567662,-58.48619
583 - Proxi Av. De Mayo 1241,-34.609202,-58.3841586
585 - Proxi Lima 945,-34.618692,-58.3819029
586 - Proxi San Martin 5930,-34.596094,-58.5003546
587 - Proxi Rojas 16-18,-34.619153,-58.4421694
588 - Proxi San Martin 4685,-34.597616,-58.4840924
589 - Proxi Peru 487,-34.613215,-58.3746716
590 - Proxi Pena 2544,-34.588788,-58.4006167
591 - Proxi J.D. Peron 4177,-34.605917,-58.4253466
592 - Proxi Echeverria 1420,-34.556817,-58.4459031
593 - Proxi Entre Rios 1192,-34.622508,-58.3908695
594 - Proxi Inclan 2502,-34.629946,-58.3994258
595 - Proxi Cosquin 78-80,-34.640676,-58.5236335
596 - Proxi Lacroze 3660,-34.582327,-58.4522653
597 - Proxi Sanabria 2733,-34.610782,-58.5066283
598 - Proxi Sarmiento 1810,-34.605745,-58.3929509
599 - Proxi Blanco Encalada 4470,-34.571532,-58.479774
600 - Proxi Directorio 3960,-34.640323,-58.4787709
604 - Proxi Av. Estado de Israel 4684,-34.600239,-58.4305608
605 - Proxi J. B. Alberdi 7071,-34.659352,-58.512733
606 - Proxi Obispo Trejo 1166 CBA,-31.428883,-64.1909373
607 - Proxi Chacabuco 727 CBA,-31.4261,-64.1837061
608 - Proxi Serrano 280,-34.59849,-58.4452057
609 - Proxi Libertador 4534,-34.566549,-58.4317517
610 - Proxi Pueyrredon 298 CBA,-31.426038,-64.192965
613 - Proxi Av. Congreso 2774,-34.557118,-58.4657782
614 - Proxi Murguiondo 4054,-34.675892,-58.4769255
615 - Proxi Av. Rivadavia 4702,-34.616177,-58.4320736
616 - Proxi Rio de Janeiro 71,-34.614637,-58.4298205
617 - Proxi Av. Monroe 3131,-34.562622,-58.4669906
618 - Proxi Bulnes 2751,-34.580392,-58.4058952
619 - Proxi Ramos Mejia 1019,-34.603594,-58.4334791
621 - Proxi Avellaneda 1034,-34.617096,-58.4447551
622 - Proxi Boyaca 1082,-34.616434,-58.4640563
623 - Proxi Av. Rivadavia 2520,-34.609873,-58.4025371
624 - Proxi Av. Nazca 3214,-34.599258,-58.4914041
625 - Proxi Montiel 1061,-34.651087,-58.5258704
626 - Proxi Ramon L. Falcon 5547,-34.639281,-58.5051048
627 - Proxi Paseo Colon 1179,-34.620857,-58.368398
628 - Proxi Rivadavia 4119,-34.612715,-58.4244395
