Categoria,Identificador,Nombre,Latitud,Longitud,Domicilio,CD ORIGEN,Turnos,RUTA,FORMATO,DIAS SUGERIDO,VIAJES,TRANSPORTE
Express - AMBA,265,265 - Proxi Angel Gallardo 30,-34.602451,"-58,4326986",ANGEL GALLARDO 30,E.Echeverria,primera_ventana,Zona_Express_13_BSAS_Capital_Caballito_Flores_Almagro_Boedo,Express,MXJV,,
Express - AMBA,291,291 - Proxi Piedras 383,-34.612681,"-58,3773941",PIEDRAS 383,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MXJV,,
Express - AMBA,298,298 - Proxi Formosa 565,-34.621329,"-58,4359789",FORMOSA 565,E.Echeverria,primera_ventana,Zona_Express_13_BSAS_Capital_Caballito_Flores_Almagro_Boedo,Express,LMJV,,
Express - AMBA,299,299 - Proxi Arenales 975,-34.594074,"-58,3803499",ARENALES 975,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MXJV,,
Express - AMBA,300,300 - Proxi Gral Deheza 2239,-34.540544,"-58,4719648",GRAL DEHEZA 2239,Malvinas,primera_ventana,Zona_Express_02_BSAS_GBA_Norte,Express,LXV,,
Express - AMBA,301,301 - Proxi Av. Pueyrredon 2464,-34.58586,"-58,3941418",AV. PUEYRREDON 2464,E.Echeverria,segunda_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LMJV,,
Express - AMBA,302,302 - Proxi Esmeralda 823,-34.598837,"-58,3783114",ESMERALDA 823,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MJV,,
Express - AMBA,303,303 - Proxi Talcahuano 841,-34.598689,"-58,3856607",TALCAHUANO 841,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,MJV,,
Express - AMBA,306,306 - Proxi Fray Oro 2709,-34.577475,"-58,4220824",FRAY J.S.M. ORO 2709,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,MJV,,
Express - AMBA,307,307 - Proxi Las Heras 1936,-34.590939,"-58,3932942",AV. LAS HERAS 1936,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LMJV,,
Express - AMBA,308,308 - Proxi Maipu 171,-34.606288,"-58,3767611",MAIPU 171,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MJV,,
Express - AMBA,309,309 - Proxi Campana 3050,-34.602614,"-58,4961811",CAMPANA 3042,Malvinas,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,LXV,,
Express - AMBA,310,310 - Proxi Chivilcoy 3840,-34.600746,"-58,5119015",CHIVILCOY 3840,Malvinas,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,LMJV,,
Express - AMBA,311,311 - Proxi Monroe 2771,-34.560157,"-58,4632194",MONROE 2771,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,MJS,,
Express - AMBA,312,312 - Proxi Cervino 4634,-34.575158,"-58,4228844",CERVINO 4634,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,LXV,,
Express - AMBA,313,313 - Proxi Montaneses 2267,-34.555942,"-58,4500766",MONTANESES 2267,Malvinas,primera_ventana,Zona_Express_11_BSAS_Capital_Norte,Express,LXV,,
Express - AMBA,314,314 - Proxi Segurola 2344,-34.614597,"-58,5057163",SEGUROLA 2344,Malvinas,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,MJS,,
Express - AMBA,315,315 - Proxi Varela 3191,-34.598611,"-58,4969549",JOSE PEDRO VARELA 3191,Malvinas,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,LXV,,
Express - AMBA,316,316 - Proxi Ramon Falcon 2402,-34.629681,"-58,462463",RAMON FALCON 2402,E.Echeverria,primera_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,MJV,,
